date;area;product;delivery;price
2026-02-11;FR;Base;202701;49.16
2026-02-10;FR;Base;202701;48.71
2026-02-09;FR;Base;202701;49.35
2026-02-11;FR;Base;202801;47.4
2026-02-10;FR;Base;202801;47.11
2026-02-09;FR;Base;202801;47.54
2026-02-11;FR;Base;202901;48.91
2026-02-10;FR;Base;202901;48.7
2026-02-09;FR;Base;202901;49.08
2026-02-11;FR;Peak;202701;53.52
2026-02-10;FR;Peak;202701;52.87
2026-02-09;FR;Peak;202701;53.55
2026-02-11;FR;Peak;202801;53.45
2026-02-10;FR;Peak;202801;53.02
2026-02-09;FR;Peak;202801;53.48
2026-02-11;FR;Peak;202901;56.1
2026-02-10;FR;Peak;202901;56.63
2026-02-09;FR;Peak;202901;56.83
